data;t;prec;p;rh;wdir;wspd
01/01/2022 12:00;9999;9999;9999;9999;350;3.09
01/01/2022 13:00;9999;9999;9999;9999;330;4.12
01/01/2022 14:00;9999;9999;9999;9999;330;3.6
01/01/2022 15:00;9999;9999;9999;9999;330;5.14
01/01/2022 16:00;9999;9999;9999;9999;330;6.17
01/01/2022 17:00;9999;9999;9999;9999;330;6.17
01/01/2022 18:00;9999;9999;9999;9999;330;7.72
01/01/2022 19:00;9999;9999;9999;9999;300;7.2
01/01/2022 20:00;9999;9999;9999;9999;300;5.66
01/01/2022 21:00;9999;9999;9999;9999;290;6.17
01/01/2022 22:00;9999;9999;9999;9999;300;6.17
02/01/2022 12:00;9999;9999;9999;9999;360;2.06
02/01/2022 13:00;9999;9999;9999;9999;360;5.66
02/01/2022 14:00;9999;9999;9999;9999;360;3.6
02/01/2022 15:00;9999;9999;9999;9999;360;4.63
02/01/2022 16:00;9999;9999;9999;9999;350;5.66
02/01/2022 17:00;9999;9999;9999;9999;340;5.14
02/01/2022 18:00;9999;9999;9999;9999;320;5.66
02/01/2022 19:00;9999;9999;9999;9999;320;7.2
02/01/2022 20:00;9999;9999;9999;9999;310;6.69
02/01/2022 21:00;9999;9999;9999;9999;330;5.66
02/01/2022 22:00;9999;9999;9999;9999;350;5.14
03/01/2022 12:00;9999;9999;9999;9999;360;3.09
03/01/2022 13:00;9999;9999;9999;9999;320;4.12
03/01/2022 14:00;9999;9999;9999;9999;310;5.14
03/01/2022 15:00;9999;9999;9999;9999;320;5.14
03/01/2022 16:00;9999;9999;9999;9999;320;5.14
03/01/2022 17:00;9999;9999;9999;9999;300;6.17
03/01/2022 18:00;9999;9999;9999;9999;330;5.14
03/01/2022 19:00;9999;9999;9999;9999;300;6.17
03/01/2022 20:00;9999;9999;9999;9999;300;5.66
03/01/2022 21:00;9999;9999;9999;9999;300;7.2
03/01/2022 22:00;9999;9999;9999;9999;290;6.17
04/01/2022 12:00;9999;9999;9999;9999;175;5.66
04/01/2022 13:00;9999;9999;9999;9999;170;5.66
04/01/2022 14:00;9999;9999;9999;9999;190;5.66
04/01/2022 15:00;9999;9999;9999;9999;175;5.14
04/01/2022 16:00;9999;9999;9999;9999;180;5.14
04/01/2022 17:00;9999;9999;9999;9999;170;5.14
04/01/2022 18:00;9999;9999;9999;9999;190;6.17
04/01/2022 19:00;9999;9999;9999;9999;190;5.66
04/01/2022 20:00;9999;9999;9999;9999;170;5.14
04/01/2022 21:00;9999;9999;9999;9999;160;5.66
04/01/2022 22:00;9999;9999;9999;9999;190;5.66
05/01/2022 12:00;9999;9999;9999;9999;170;4.12
05/01/2022 13:00;9999;9999;9999;9999;180;3.6
05/01/2022 14:00;9999;9999;9999;9999;180;3.6
05/01/2022 15:00;9999;9999;9999;9999;180;3.09
05/01/2022 16:00;9999;9999;9999;9999;150;2.57
05/01/2022 17:00;9999;9999;9999;9999;210;3.09
05/01/2022 18:00;9999;9999;9999;9999;240;2.57
05/01/2022 19:00;9999;9999;9999;9999;210;3.09
05/01/2022 20:00;9999;9999;9999;9999;180;4.12
05/01/2022 21:00;9999;9999;9999;9999;190;4.12
05/01/2022 22:00;9999;9999;9999;9999;240;3.09
06/01/2022 12:00;9999;9999;9999;9999;170;4.12
06/01/2022 13:00;9999;9999;9999;9999;180;5.14
06/01/2022 14:00;9999;9999;9999;9999;170;4.12
06/01/2022 15:00;9999;9999;9999;9999;190;5.66
06/01/2022 16:00;9999;9999;9999;9999;210;5.14
06/01/2022 17:00;9999;9999;9999;9999;180;4.12
06/01/2022 18:00;9999;9999;9999;9999;170;5.14
06/01/2022 19:00;9999;9999;9999;9999;200;4.63
06/01/2022 20:00;9999;9999;9999;9999;210;3.6
06/01/2022 21:00;9999;9999;9999;9999;220;4.12
06/01/2022 22:00;9999;9999;9999;9999;200;3.6
07/01/2022 12:00;9999;9999;9999;9999;170;6.69
07/01/2022 13:00;9999;9999;9999;9999;170;6.69
07/01/2022 14:00;9999;9999;9999;9999;190;5.66
07/01/2022 15:00;9999;9999;9999;9999;180;5.66
07/01/2022 17:00;9999;9999;9999;9999;180;5.14
07/01/2022 18:00;9999;9999;9999;9999;170;5.66
07/01/2022 19:00;9999;9999;9999;9999;180;5.66
07/01/2022 20:00;9999;9999;9999;9999;180;8.23
07/01/2022 21:00;9999;9999;9999;9999;200;6.17
07/01/2022 22:00;9999;9999;9999;9999;240;7.72
08/01/2022 12:00;9999;9999;9999;9999;150;3.09
08/01/2022 13:00;9999;9999;9999;9999;180;4.12
08/01/2022 14:00;9999;9999;9999;9999;210;5.14
08/01/2022 15:00;9999;9999;9999;9999;200;4.12
08/01/2022 16:00;9999;9999;9999;9999;9999;2.06
08/01/2022 17:00;9999;9999;9999;9999;340;3.6
08/01/2022 18:00;9999;9999;9999;9999;310;6.69
08/01/2022 19:00;9999;9999;9999;9999;320;6.17
08/01/2022 20:00;9999;9999;9999;9999;290;7.2
08/01/2022 21:00;9999;9999;9999;9999;300;2.06
08/01/2022 22:00;9999;9999;9999;9999;310;7.2
09/01/2022 12:00;9999;9999;9999;9999;30;2.57
